Customer ID,Customer Title,Customer First Name,Customer Middle Name,Customer Last Name,Customer_Segment,Maritial_Status,Gender,DOB,Effective_Start_Dt,Effective_End_Dt,Policy_Type_Id,Policy_Type,Policy_Type_Desc,Policy_Id,Policy_Name,Premium_Amt,Policy_Term,Policy_Start_Dt,Policy_End_Dt,Next_Premium_Dt,Actual_Premium_Paid_Dt,Country,Region,State or Province,City,Postal Code,Total_Policy_Amt,Premium_Amt_Paid_TillDate
667,Professor,Allison,,Kirby,Corporate,Married,Male,12/7/1994,12/31/2011,,98765,Auto,Related to 4 wheelers or 3 wheelers or 2 wheelers Claims,98765_667,HSB_Auto_98765,2000,Monthly,12/31/2011,12/27/2034,1/31/2015,2/28/2015,US,Central,Texas,Dallas,75203,200000,72000
796,Prof.,Amanda,,Conner,Corporate,Married,Female,2/5/1996,12/30/2012,,13579,Mediclaim,Related to Life or Personal Claim,13579_796,HSB_Lifeclaim_13579,5000,Quarterly,12/30/2012,12/27/2035,3/30/2016,9/24/2016,USA,Central,Nebraska,Papillion,68046,500000,60000
669,Prof.,Amy,,Shea,Home Office,Married,Female,2/5/1992,12/30/2008,,13579,Mediclaim,Related to Life or Personal Claim,13579_669,HSB_Lifeclaim_13579,5000,Quarterly,12/30/2008,12/27/2031,3/30/2012,9/24/2012,U.S,Central,Iowa,Ottumwa,52501,500000,60000
3397,Prof.,Andrea,,Shaw,Small Business,Married,Male,2/5/1993,1/1/2013,,12468,Mortgages,"Related to Ornaments, Property Claim",02468_3397,HSB_Jewel_02468,60000,Half Yearly,1/1/2013,12/27/2032,7/1/2013,1/1/2014,US,Central,Illinois,Danville,61832,400000,60000
3046,Doctor.,Andrew,,Pearce,Small Business,Married,Male,12/7/1995,12/31/2012,,98765,Auto,Related to 4 wheelers or 3 wheelers or 2 wheelers Claims,98765_3046,HSB_Auto_98765,2000,Monthly,12/31/2012,12/27/2035,1/31/2016,2/28/2016,U.S.A,Central,Kansas,Leawood,66209,200000,72000
3132,Professor,Anita,,Kang,Corporate,Married,Female,12/9/1990,1/2/2008,,98765,Auto,Related to 4 wheelers or 3 wheelers or 2 wheelers Claims,98765_3132,HSB_Auto_98765,2000,Monthly,1/2/2008,12/29/2030,2/2/2011,3/2/2011,USA,Central,Illinois,Mundelein,60060,200000,72000
2896,Doctor.,Anna,,Ellis,Home Office,Married,Female,2/5/1990,12/31/2006,,13579,Mediclaim,Related to Life or Personal Claim,13579_2896,HSB_Lifeclaim_13579,5000,Quarterly,12/31/2006,12/27/2029,3/31/2010,9/25/2010,USA,Central,Minnesota,Mankato,56001,500000,60000
1254,Professor,Anne,,Bland,Home Office,Married,Female,2/5/1991,12/31/2007,,13579,Mediclaim,Related to Life or Personal Claim,13579_1254,HSB_Lifeclaim_13579,5000,Quarterly,12/31/2007,12/27/2030,3/31/2011,9/25/2011,U.S,Central,Texas,Channelview,77530,500000,60000
2851,Dr.,Annie,,Sherrill,Consumer,Married,Female,2/6/1991,1/2/2011,,12468,Mortgages,"Related to Ornaments, Property Claim",02468_2851,HSB_Jewel_02468,60000,Half Yearly,1/2/2011,12/28/2030,7/2/2011,1/2/2012,U.S,Central,Texas,Odessa,79762,400000,60000
3001,Dr.,Anthony,,Foley,Consumer,Married,Male,2/7/1991,1/2/2008,,13579,Mediclaim,Related to Life or Personal Claim,13579_3001,HSB_Lifeclaim_13579,5000,Quarterly,1/2/2008,12/29/2030,4/2/2011,9/27/2011,US,Central,Michigan,Port Huron,48060,500000,60000
1238,Professor,April,,Bowers,Corporate,Married,Male,12/11/1990,1/4/2008,,98765,Auto,Related to 4 wheelers or 3 wheelers or 2 wheelers Claims,98765_1238,HSB_Auto_98765,2000,Monthly,1/4/2008,12/31/2030,2/4/2011,3/4/2011,U.S.A,Central,Texas,Cedar Hill,75104,200000,72000
1360,Professor,Arlene,,Gibbons,Consumer,Married,Male,12/8/1990,1/1/2008,,98765,Auto,Related to 4 wheelers or 3 wheelers or 2 wheelers Claims,98765_1360,HSB_Auto_98765,2000,Monthly,1/1/2008,12/28/2030,2/1/2011,3/1/2011,United States Of America,Central,Iowa,Muscatine,52761,200000,72000
2422,Doctor.,Arlene,Wiggins,Dalton,Home Office,Married,Male,2/5/1993,12/31/2009,,13579,Mediclaim,Related to Life or Personal Claim,13579_2422,HSB_Lifeclaim_13579,5000,Quarterly,12/31/2009,12/27/2032,3/31/2013,9/25/2013,US,Central,Texas,Huntsville,77340,500000,60000
688,Prof.,Ashley,,Reese,Small Business,Married,Male,2/5/1993,12/31/2009,,13579,Mediclaim,Related to Life or Personal Claim,13579_688,HSB_Lifeclaim_13579,5000,Quarterly,12/31/2009,12/27/2032,3/31/2013,9/25/2013,US,Central,Missouri,Saint Louis,63116,500000,60000
2715,Doctor.,Becky,,Farmer,Corporate,Single,Male,2/7/1993,1/3/2013,,12468,Mortgages,"Related to Ornaments, Property Claim",02468_2715,HSB_Jewel_02468,60000,Half Yearly,1/3/2013,12/29/2032,7/3/2013,1/3/2014,U.S.A,Central,Michigan,Lansing,48911,400000,60000
1131,Prof.,Benjamin,,Strauss,Home Office,Single,Male,2/7/1995,1/2/2012,,13579,Mediclaim,Related to Life or Personal Claim,13579_1131,HSB_Lifeclaim_13579,5000,Quarterly,1/2/2012,12/29/2034,4/2/2015,9/27/2015,U.S,Central,Texas,El Paso,79907,500000,60000
2892,Professor,Benjamin,,Porter,Consumer,Single,Male,12/8/1994,1/1/2012,,98765,Auto,Related to 4 wheelers or 3 wheelers or 2 wheelers Claims,98765_2892,HSB_Auto_98765,2000,Monthly,1/1/2012,12/28/2034,2/1/2015,3/1/2015,U.S,Central,Michigan,Livonia,48154,200000,72000
759,Doctor.,Bernice,F,Day,Small Business,Single,Male,2/9/1995,1/5/2015,,12468,Mortgages,"Related to Ornaments, Property Claim",02468_759,HSB_Jewel_02468,60000,Half Yearly,1/5/2015,12/31/2034,7/5/2015,1/5/2016,US,Central,Illinois,Quincy,62301,400000,60000
1416,Doctor.,Betsy,,Gibson,Small Business,Single,Female,2/5/1992,12/30/2008,,13579,Mediclaim,Related to Life or Personal Claim,13579_1416,HSB_Lifeclaim_13579,5000,Quarterly,12/30/2008,12/27/2031,3/30/2012,9/24/2012,US,Central,Indiana,Indianapolis,46203,500000,60000
2630,Doctor.,Betsy,,Puckett,Small Business,Single,Female,2/5/1992,12/30/2011,,12468,Mortgages,"Related to Ornaments, Property Claim",02468_2630,HSB_Jewel_02468,60000,Half Yearly,12/30/2011,12/27/2031,6/30/2012,12/31/2012,USA,Central,Oklahoma,Norman,73071,400000,60000
2897,Dr.,Betty,,Giles,Home Office,Single,Female,2/5/1990,12/31/2006,,13579,Mediclaim,Related to Life or Personal Claim,13579_2897,HSB_Lifeclaim_13579,5000,Quarterly,12/31/2006,12/27/2029,3/31/2010,9/25/2010,United States Of America,Central,Minnesota,Maple Grove,55369,500000,60000
890,Dr.,Billie,,Fowler,Consumer,Single,Female,2/5/1990,1/1/2010,,12468,Mortgages,"Related to Ornaments, Property Claim",02468_890,HSB_Jewel_02468,60000,Half Yearly,1/1/2010,12/27/2029,7/1/2010,1/1/2011,United States Of America,Central,Texas,Bedford,76021,400000,60000
3327,Professor,Bob,,Gibson,Small Business,Single,Male,2/5/1990,12/31/2006,,13579,Mediclaim,Related to Life or Personal Claim,13579_3327,HSB_Lifeclaim_13579,5000,Quarterly,12/31/2006,12/27/2029,3/31/2010,9/25/2010,US,Central,Michigan,Port Huron,48060,500000,60000
2206,Doctor.,Bobby,,Powell,Consumer,Single,Male,2/5/1990,1/1/2010,,12468,Mortgages,"Related to Ornaments, Property Claim",02468_2206,HSB_Jewel_02468,60000,Half Yearly,1/1/2010,12/27/2029,7/1/2010,1/1/2011,US,Central,Iowa,Fort Dodge,50501,400000,60000
2266,Professor,Brandon,,Beach,Corporate,Single,Male,2/5/1990,12/31/2006,,13579,Mediclaim,Related to Life or Personal Claim,13579_2266,HSB_Lifeclaim_13579,5000,Quarterly,12/31/2006,12/27/2029,3/31/2010,9/25/2010,U.S.A,Central,Missouri,Kirkwood,63122,500000,60000
2619,Professor,Brandon,E,Shepherd,Corporate,Single,Male,2/5/1990,12/31/2006,,13579,Mediclaim,Related to Life or Personal Claim,13579_2619,HSB_Lifeclaim_13579,5000,Quarterly,12/31/2006,12/27/2029,3/31/2010,9/25/2010,U.S,Central,South Dakota,Sioux Falls,57103,500000,60000
250,Mistress,Brenda,Nelson,Blanchard,Corporate,Single,Male,2/5/1990,1/1/2010,,12468,Mortgages,"Related to Ornaments, Property Claim",02468_250,HSB_Jewel_02468,60000,Half Yearly,1/1/2010,12/27/2029,7/1/2010,1/1/2011,U.S.A,Central,Minnesota,Richfield,55423,400000,60000
326,Miss.,Brenda,,May,Consumer,Single,Male,2/6/1990,1/2/2010,,12468,Mortgages,"Related to Ornaments, Property Claim",02468_326,HSB_Jewel_02468,60000,Half Yearly,1/2/2010,12/28/2029,7/2/2010,1/2/2011,U.S.A,Central,Illinois,Batavia,60510,400000,60000
2272,Prof.,Brett,,Ingram,Corporate,Single,Male,2/8/1990,1/3/2007,,13579,Mediclaim,Related to Life or Personal Claim,13579_2272,HSB_Lifeclaim_13579,5000,Quarterly,1/3/2007,12/30/2029,4/3/2010,9/28/2010,USA,Central,Texas,Harker Heights,76543,500000,60000
672,Doctor.,Brian,,Leach,Small Business,Single,Male,2/5/1990,1/1/2010,,12468,Mortgages,"Related to Ornaments, Property Claim",02468_672,HSB_Jewel_02468,60000,Half Yearly,1/1/2010,12/27/2029,7/1/2010,1/1/2011,U.S.A,Central,Iowa,Newton,50208,400000,60000
1419,Professor,Brooke,,Lancaster,Small Business,Single,Male,12/8/1989,1/1/2007,,98765,Auto,Related to 4 wheelers or 3 wheelers or 2 wheelers Claims,98765_1419,HSB_Auto_98765,2000,Monthly,1/1/2007,12/28/2029,2/1/2010,3/1/2010,U.S.A,Central,Indiana,Lafayette,47905,200000,72000
408,Mr.,Calvin,Parsons,Walter,Corporate,Single,Male,2/7/1991,1/2/2008,,13579,Mediclaim,Related to Life or Personal Claim,13579_408,HSB_Lifeclaim_13579,5000,Quarterly,1/2/2008,12/29/2030,4/2/2011,9/27/2011,United States Of America,Central,Texas,San Juan,78589,500000,60000
2668,Professor,Carlos,,Hanson,Home Office,Divorced,Male,2/5/1991,12/31/2007,,13579,Mediclaim,Related to Life or Personal Claim,13579_2668,HSB_Lifeclaim_13579,5000,Quarterly,12/31/2007,12/27/2030,3/31/2011,9/25/2011,US,Central,South Dakota,Rapid City,57701,500000,60000
1136,Professor,Carmen,,McPherson,Consumer,Single,Male,2/6/1990,1/2/2010,,12468,Mortgages,"Related to Ornaments, Property Claim",02468_1136,HSB_Jewel_02468,60000,Half Yearly,1/2/2010,12/28/2029,7/2/2010,1/2/2011,United States Of America,Central,Illinois,Carol Stream,60188,400000,60000
915,Prof.,Carol,,Sherrill,Home Office,Single,Male,12/8/1989,1/1/2007,,98765,Auto,Related to 4 wheelers or 3 wheelers or 2 wheelers Claims,98765_915,HSB_Auto_98765,2000,Monthly,1/1/2007,12/28/2029,2/1/2010,3/1/2010,U.S,Central,Texas,Bryan,77803,200000,72000
2718,Dr.,Caroline,,Stone,Consumer,Divorced,Male,2/6/1991,1/1/2008,,13579,Mediclaim,Related to Life or Personal Claim,13579_2718,HSB_Lifeclaim_13579,5000,Quarterly,1/1/2008,12/28/2030,4/1/2011,9/26/2011,USA,Central,Illinois,Lansing,60438,500000,60000
1967,Prof.,Carolyn,,Hoffman,Small Business,Single,Male,2/6/1990,1/1/2007,,13579,Mediclaim,Related to Life or Personal Claim,13579_1967,HSB_Lifeclaim_13579,5000,Quarterly,1/1/2007,12/28/2029,4/1/2010,9/26/2010,U.S,Central,Iowa,Clinton,52732,500000,60000
2862,Prof.,Carrie,,High,Corporate,Divorced,Male,12/8/1989,1/1/2007,,98765,Auto,Related to 4 wheelers or 3 wheelers or 2 wheelers Claims,98765_2862,HSB_Auto_98765,2000,Monthly,1/1/2007,12/28/2029,2/1/2010,3/1/2010,USA,Central,Nebraska,La Vista,68128,200000,72000
3041,Dr.,Carrie,,Duke,Corporate,Divorced,Male,2/5/1990,12/31/2006,,13579,Mediclaim,Related to Life or Personal Claim,13579_3041,HSB_Lifeclaim_13579,5000,Quarterly,12/31/2006,12/27/2029,3/31/2010,9/25/2010,United States Of America,Central,Kansas,Garden City,67846,500000,60000
2014,Prof.,Cathy,,Simon,Home Office,Single,Male,2/5/1991,12/31/2007,,13579,Mediclaim,Related to Life or Personal Claim,13579_2014,HSB_Lifeclaim_13579,5000,Quarterly,12/31/2007,12/27/2030,3/31/2011,9/25/2011,US,Central,Iowa,Council Bluffs,51503,500000,60000
594,Professor,Charlie,,Moore,Consumer,Single,Male,12/7/1990,12/31/2007,,98765,Auto,Related to 4 wheelers or 3 wheelers or 2 wheelers Claims,98765_594,HSB_Auto_98765,2000,Monthly,12/31/2007,12/27/2030,1/31/2011,2/28/2011,U.S.A,Central,Indiana,Anderson,46016,200000,72000
1776,Dr.,Charlotte,,Patterson,Consumer,Single,Male,2/5/1989,12/31/2005,,13579,Mediclaim,Related to Life or Personal Claim,13579_1776,HSB_Lifeclaim_13579,5000,Quarterly,12/31/2005,12/27/2028,3/31/2009,9/25/2009,USA,Central,Indiana,Terre Haute,47802,500000,60000
2796,Professor,Cindy,,McLeod,Corporate,Divorced,Female,2/6/1990,1/1/2007,,13579,Mediclaim,Related to Life or Personal Claim,13579_2796,HSB_Lifeclaim_13579,5000,Quarterly,1/1/2007,12/28/2029,4/1/2010,9/26/2010,USA,Central,Iowa,Sioux City,51106,500000,60000
1080,Prof.,Colleen,,Fletcher,Corporate,Single,Female,2/7/1990,1/2/2007,,13579,Mediclaim,Related to Life or Personal Claim,13579_1080,HSB_Lifeclaim_13579,5000,Quarterly,1/2/2007,12/29/2029,4/2/2010,9/27/2010,USA,Central,Illinois,Saint Charles,60174,500000,60000
2794,Doctor.,Connie,,Bunn,Corporate,Divorced,Female,2/5/1990,12/31/2006,,13579,Mediclaim,Related to Life or Personal Claim,13579_2794,HSB_Lifeclaim_13579,5000,Quarterly,12/31/2006,12/27/2029,3/31/2010,9/25/2010,U.S,Central,Iowa,Marshalltown,50158,500000,60000
1405,Prof.,Crystal,,Floyd,Home Office,Single,Male,2/5/1990,1/1/2010,,12468,Mortgages,"Related to Ornaments, Property Claim",02468_1405,HSB_Jewel_02468,60000,Half Yearly,1/1/2010,12/27/2029,7/1/2010,1/1/2011,United States Of America,Central,Michigan,Battle Creek,49017,400000,60000
865,Professor,Dana,,Burgess,Corporate,Single,Male,2/5/1990,12/31/2006,,13579,Mediclaim,Related to Life or Personal Claim,13579_865,HSB_Lifeclaim_13579,5000,Quarterly,12/31/2006,12/27/2029,3/31/2010,9/25/2010,U.S,Central,Indiana,East Chicago,46312,500000,60000
3360,Dr.,Daniel,,Huff,Home Office,Widowed,Male,2/8/1991,1/3/2008,,13579,Mediclaim,Related to Life or Personal Claim,13579_3360,HSB_Lifeclaim_13579,5000,Quarterly,1/3/2008,12/30/2030,4/3/2011,9/28/2011,USA,Central,Wisconsin,West Allis,53214,500000,60000
381,Miss.,Danielle,,Watts,Corporate,Single,Male,2/8/1990,1/3/2007,,13579,Mediclaim,Related to Life or Personal Claim,13579_381,HSB_Lifeclaim_13579,5000,Quarterly,1/3/2007,12/30/2029,4/3/2010,9/28/2010,US,Central,Illinois,Bloomington,61701,500000,60000
1265,Prof.,Danielle,,Kramer,Home Office,Single,Male,2/7/1990,1/2/2007,,13579,Mediclaim,Related to Life or Personal Claim,13579_1265,HSB_Lifeclaim_13579,5000,Quarterly,1/2/2007,12/29/2029,4/2/2010,9/27/2010,U.S.A,Central,Oklahoma,Altus,73521,500000,60000
1816,Dr.,Danielle,,Schneider,Consumer,Single,Male,2/7/1990,1/2/2007,,13579,Mediclaim,Related to Life or Personal Claim,13579_1816,HSB_Lifeclaim_13579,5000,Quarterly,1/2/2007,12/29/2029,4/2/2010,9/27/2010,U.S.A,Central,Michigan,Canton,48187,500000,60000
2628,Prof.,Danielle,P,Rao,Corporate,Single,Male,2/6/1990,1/1/2007,,13579,Mediclaim,Related to Life or Personal Claim,13579_2628,HSB_Lifeclaim_13579,5000,Quarterly,1/1/2007,12/28/2029,4/1/2010,9/26/2010,U.S.A,Central,Oklahoma,Moore,73160,500000,60000
2201,Doctor.,David,,Hoyle,Small Business,Single,Male,12/9/1989,1/2/2007,,98765,Auto,Related to 4 wheelers or 3 wheelers or 2 wheelers Claims,98765_2201,HSB_Auto_98765,2000,Monthly,1/2/2007,12/29/2029,2/2/2010,3/2/2010,U.S,Central,Minnesota,Bloomington,55420,200000,72000
2791,Prof.,Dawn,,Larson,Corporate,Single,Male,2/7/1993,1/2/2010,,13579,Mediclaim,Related to Life or Personal Claim,13579_2791,HSB_Lifeclaim_13579,5000,Quarterly,1/2/2010,12/29/2032,4/2/2013,9/27/2013,US,Central,Michigan,Madison Heights,48071,500000,60000
1211,Dr.,Debra,,Proctor,Corporate,Single,Male,2/7/1990,1/2/2007,,13579,Mediclaim,Related to Life or Personal Claim,13579_1211,HSB_Lifeclaim_13579,5000,Quarterly,1/2/2007,12/29/2029,4/2/2010,9/27/2010,U.S.A,Central,Indiana,Fort Wayne,46806,500000,60000
2273,Doctor.,Debra,,Block,Corporate,Single,Male,2/5/1990,1/1/2010,,12468,Mortgages,"Related to Ornaments, Property Claim",02468_2273,HSB_Jewel_02468,60000,Half Yearly,1/1/2010,12/27/2029,7/1/2010,1/1/2011,United States Of America,Central,Texas,Harlingen,78550,400000,60000
2433,Professor,Debra,P,May,Consumer,Single,Male,2/6/1990,1/1/2007,,13579,Mediclaim,Related to Life or Personal Claim,13579_2433,HSB_Lifeclaim_13579,5000,Quarterly,1/1/2007,12/28/2029,4/1/2010,9/26/2010,U.S,Central,Oklahoma,Moore,73160,500000,60000
1338,Prof.,Denise,,McIntosh,Home Office,Single,Male,2/9/1990,1/5/2010,,12468,Mortgages,"Related to Ornaments, Property Claim",02468_1338,HSB_Jewel_02468,60000,Half Yearly,1/5/2010,12/31/2029,7/5/2010,1/5/2011,U.S,Central,Illinois,Chicago,60623,400000,60000
1109,Doctor.,Dennis,,Welch,Consumer,Single,Male,12/9/1989,1/2/2007,,98765,Auto,Related to 4 wheelers or 3 wheelers or 2 wheelers Claims,98765_1109,HSB_Auto_98765,2000,Monthly,1/2/2007,12/29/2029,2/2/2010,3/2/2010,USA,Central,Texas,Laredo,78041,200000,72000
1793,Doctor.,Derek,,Jernigan,Home Office,Single,Male,12/10/1989,1/3/2007,,98765,Auto,Related to 4 wheelers or 3 wheelers or 2 wheelers Claims,98765_1793,HSB_Auto_98765,2000,Monthly,1/3/2007,12/30/2029,2/3/2010,3/3/2010,U.S,Central,Illinois,Galesburg,61401,200000,72000
1935,Prof.,Diana,Coble,Hubbard,Home Office,Single,Male,2/5/1992,12/30/2008,,13579,Mediclaim,Related to Life or Personal Claim,13579_1935,HSB_Lifeclaim_13579,5000,Quarterly,12/30/2008,12/27/2031,3/30/2012,9/24/2012,U.S.A,Central,Texas,Grand Prairie,75051,500000,60000
234,Mr.,Don,,Cameron,Small Business,Single,Male,2/5/1992,12/30/2008,,13579,Mediclaim,Related to Life or Personal Claim,13579_234,HSB_Lifeclaim_13579,5000,Quarterly,12/30/2008,12/27/2031,3/30/2012,9/24/2012,U.S,Central,Iowa,Newton,50208,500000,60000
1492,Prof.,Don,,Beard,Corporate,Single,Male,2/7/1992,1/2/2012,,12468,Mortgages,"Related to Ornaments, Property Claim",02468_1492,HSB_Jewel_02468,60000,Half Yearly,1/2/2012,12/29/2031,7/2/2012,1/2/2013,U.S,Central,Missouri,Ozark,65721,400000,60000
596,Prof.,Doris,,Fitzpatrick,Consumer,Single,Male,12/7/1990,12/31/2007,,98765,Auto,Related to 4 wheelers or 3 wheelers or 2 wheelers Claims,98765_596,HSB_Auto_98765,2000,Monthly,12/31/2007,12/27/2030,1/31/2011,2/28/2011,USA,Central,Indiana,Carmel,46032,200000,72000
2426,Professor,Dorothy,,Holt,Small Business,Single,Male,12/7/1990,12/31/2007,,98765,Auto,Related to 4 wheelers or 3 wheelers or 2 wheelers Claims,98765_2426,HSB_Auto_98765,2000,Monthly,12/31/2007,12/27/2030,1/31/2011,2/28/2011,U.S.A,Central,Texas,Irving,75061,200000,72000
1108,Prof.,Dwight,,Bishop,Small Business,Single,Male,2/5/1991,1/1/2011,,12468,Mortgages,"Related to Ornaments, Property Claim",02468_1108,HSB_Jewel_02468,60000,Half Yearly,1/1/2011,12/27/2030,7/1/2011,1/1/2012,U.S.A,Central,Texas,Lancaster,75146,400000,60000
2861,Professor,Dwight,,Robinson,Corporate,Widowed,Male,2/7/1991,1/3/2011,,12468,Mortgages,"Related to Ornaments, Property Claim",02468_2861,HSB_Jewel_02468,60000,Half Yearly,1/3/2011,12/29/2030,7/3/2011,1/3/2012,U.S.A,Central,Kansas,Hays,67601,400000,60000
94,Mister.,Eddie,House,Mueller,Home Office,Single,Male,2/5/1991,1/1/2011,,12468,Mortgages,"Related to Ornaments, Property Claim",02468_94,HSB_Jewel_02468,60000,Half Yearly,1/1/2011,12/27/2030,7/1/2011,1/1/2012,US,Central,Illinois,Chicago,60601,400000,60000
94,Mister.,Eddie,House,Mueller,Home Office,Single,Male,2/5/1991,1/1/2011,,12468,Mortgages,"Related to Ornaments, Property Claim",02468_94,HSB_Jewel_02468,60000,Half Yearly,1/1/2011,12/27/2030,7/1/2011,1/1/2012,US,Central,Illinois,Chicago,60601,400000,60000
2203,Professor,Eddie,,Walker,Home Office,Single,Male,2/5/1993,1/1/2013,,12468,Mortgages,"Related to Ornaments, Property Claim",02468_2203,HSB_Jewel_02468,60000,Half Yearly,1/1/2013,12/27/2032,7/1/2013,1/1/2014,USA,Central,Minnesota,Brooklyn Park,55445,400000,60000
483,Mr,Edgar,,McKenzie,Corporate,Single,Male,2/5/1993,1/1/2013,,12468,Mortgages,"Related to Ornaments, Property Claim",02468_483,HSB_Jewel_02468,60000,Half Yearly,1/1/2013,12/27/2032,7/1/2013,1/1/2014,USA,Central,Illinois,Oswego,60543,400000,60000
3036,Doctor.,Edith,,Reynolds,Home Office,Married,Male,2/5/1995,12/31/2011,,13579,Mediclaim,Related to Life or Personal Claim,13579_3036,HSB_Lifeclaim_13579,5000,Quarterly,12/31/2011,12/27/2034,3/31/2015,9/25/2015,USA,Central,North Dakota,Mandan,58554,500000,60000
550,Mrs.,Edna,Monroe,Talley,Corporate,Single,Male,2/5/1992,12/30/2011,,12468,Mortgages,"Related to Ornaments, Property Claim",02468_550,HSB_Jewel_02468,60000,Half Yearly,12/30/2011,12/27/2031,6/30/2012,12/31/2012,U.S.A,Central,Texas,Seguin,78155,400000,60000
1561,Doctor.,Edwin,,Coley,Corporate,Single,Male,12/7/1989,12/31/2006,,98765,Auto,Related to 4 wheelers or 3 wheelers or 2 wheelers Claims,98765_1561,HSB_Auto_98765,2000,Monthly,12/31/2006,12/27/2029,1/31/2010,2/28/2010,U.S,Central,Texas,Mansfield,76063,200000,72000
1212,Professor,Eileen,,Fletcher,Corporate,Single,Male,2/5/1990,1/1/2010,,12468,Mortgages,"Related to Ornaments, Property Claim",02468_1212,HSB_Jewel_02468,60000,Half Yearly,1/1/2010,12/27/2029,7/1/2010,1/1/2011,USA,Central,Indiana,Gary,46404,400000,60000
2046,Professor,Eileen,,Schwartz,Corporate,Single,Male,2/5/1994,1/1/2014,,12468,Mortgages,"Related to Ornaments, Property Claim",02468_2046,HSB_Jewel_02468,60000,Half Yearly,1/1/2014,12/27/2033,7/1/2014,1/1/2015,USA,Central,Kansas,Liberal,67901,400000,60000
2958,Doctor.,Ellen,,Sparks,Corporate,Married,Male,2/5/1991,1/1/2011,,12468,Mortgages,"Related to Ornaments, Property Claim",02468_2958,HSB_Jewel_02468,60000,Half Yearly,1/1/2011,12/27/2030,7/1/2011,1/1/2012,U.S,Central,Wisconsin,Neenah,54956,400000,60000
